timestamp,pipeline_events_active,pipeline_events_published,pipeline_events_total,queue_filled_events,queue_filled_bytes,queue_filled_pct,queue_max_events,queue_added_events,queue_consumed_events,queue_removed_events,output_events_total,output_events_acked,output_events_active,output_events_failed,output_events_dropped,output_events_batches,latency_mean,latency_median,latency_p95,latency_p99,latency_p999,latency_max,filebeat_events_active,filebeat_events_added,filebeat_events_done,cpu_total_ms,cpu_user_ms,cpu_system_ms,memory_alloc,memory_total,rss,gc_next,goroutines,load_1,load_5,load_15,load_norm_1,load_norm_5,load_norm_15
2026-03-02 11:33:16.112000+01:00,1878,227477,227478,1878,0,0.586875,3200,227477,227200,225600,227200,225600,1600,,,142,0,0,0,0,0,0,1866,227466,225600,52639,49885,2753,163073824,2222881256,625803264,168642274,37,4.228,3.7544,3.0044,0.3523,0.3129,0.2504
2026-03-02 11:34:16.112000+01:00,4,222533,222532,4,0,0.00125,3200,222533,222806,224406,222806,224406,0,,,140,0,0,0,0,0,0,4,222544,224406,52594,50048,2547,301082976,4349249208,626458624,329458610,37,5.8105,4.3193,3.2661,0.4842,0.3599,0.2722
2026-03-02 11:35:16.112000+01:00,401,250005,250005,401,0,0.1253125,3200,250005,249608,249608,249608,249608,0,,,157,0,0,0,0,0,0,401,250005,249608,52757,49978,2778,248651160,6524243208,652722176,331182514,37,5.8521,4.6191,3.4482,0.4877,0.3849,0.2874
2026-03-02 11:36:16.113000+01:00,1203,250005,250005,1203,0,0.3759375,3200,250005,249203,249203,249203,249203,0,,,156,0,0,0,0,0,0,1203,250005,249203,53505,50668,2838,225341592,8727225696,652836864,334646258,37,4.334,4.4121,3.4482,0.3612,0.3677,0.2874
2026-03-02 11:37:16.113000+01:00,8,250005,250005,8,0,0.0025,3200,250005,251200,251200,251200,251200,0,,,157,0,0,0,0,0,0,8,250005,251200,55178,52415,2762,219947904,10953313952,652967936,329527410,37,3.4395,4.125,3.4038,0.2866,0.3438,0.2837
2026-03-02 11:38:16.114000+01:00,413,250005,250005,413,0,0.1290625,3200,250005,249600,249600,249600,249600,0,,,156,0,0,0,0,0,0,413,250005,249600,55148,52458,2690,165074656,13125750168,653115392,331294818,37,2.9917,3.8604,3.3511,0.2493,0.3217,0.2793
2026-03-02 11:39:16.115000+01:00,4,250005,250005,4,0,0.00125,3200,250005,250414,250414,250414,250414,0,,,157,0,0,0,0,0,0,4,250005,250414,55151,52508,2643,126456240,15287217736,673120256,153429826,41,3.7778,3.9531,3.4199,0.3148,0.3294,0.285
2026-03-02 11:40:16.113000+01:00,445,247646,247647,444,0,0.13875,3200,247646,247206,247206,247206,247206,0,,,155,0,0,0,0,0,0,446,247648,247206,54854,52207,2647,143463504,17440523008,673120256,168437858,37,4.0176,3.9648,3.457,0.3348,0.3304,0.2881
2026-03-02 11:41:16.113000+01:00,1629,222388,222389,1628,0,0.5090625,3200,222389,222805,221205,222805,221205,1600,,,140,0,0,0,0,0,0,1632,222392,221205,52879,50424,2456,140986344,19581136224,673153024,174522002,37,3.5396,3.8325,3.4395,0.295,0.3194,0.2866
2026-03-02 11:42:16.114000+01:00,572,237344,237343,572,0,0.17875,3200,237344,236800,238400,236800,238400,0,,,148,0,0,0,0,0,0,576,237343,238400,54351,51742,2608,98201000,21769440256,673153024,169316578,37,4.3735,3.9751,3.5151,0.3645,0.3313,0.2929
