timestamp,pipeline_events_active,pipeline_events_published,pipeline_events_total,queue_filled_events,queue_filled_bytes,queue_filled_pct,queue_max_events,queue_added_events,queue_consumed_events,queue_removed_events,output_events_total,output_events_acked,output_events_active,output_events_failed,output_events_dropped,output_events_batches,latency_mean,latency_median,latency_p95,latency_p99,latency_p999,latency_max,filebeat_events_active,filebeat_events_added,filebeat_events_done,cpu_total_ms,cpu_user_ms,cpu_system_ms,memory_alloc,memory_total,rss,gc_next,goroutines,load_1,load_5,load_15,load_norm_1,load_norm_5,load_norm_15
2026-03-04 16:05:50.494000+01:00,0,,,0,0,0,3200,,,,,,0,,,,0,0,0,0,0,0,0,,,467,396,70,14858064,33288176,98156544,19489234,33,1.8579,2.2295,2.5493,0.1548,0.1858,0.2124
2026-03-04 16:06:50.493000+01:00,0,1,1,0,0,0,3200,1,1,1,1,1,0,,,1,1,1,1,1,1,1,0,1,1,65,49,17,15333568,33763680,101318656,19489234,33,1.9033,2.146,2.4932,0.1586,0.1788,0.2078
2026-03-04 16:07:50.488000+01:00,1670,1019269,1019270,1670,0,0.521875,3200,1019270,1019200,1017600,1019200,1017600,1600,,,637,0,0,0,0,0,0,2400,1020000,1017600,64974,56052,8921,25627448,5654148776,126713856,29007442,35,1.8125,2.0967,2.4521,0.151,0.1747,0.2043
2026-03-04 16:08:50.490000+01:00,0,1020731,1020730,0,0,0,3200,1020730,1020800,1022400,1020800,1022400,0,,,638,0,0,0,0,0,0,0,1020000,1022400,65246,56290,8956,24110552,11279512536,126763008,28455202,37,1.8848,2.0742,2.417,0.1571,0.1729,0.2014
2026-03-04 16:09:50.488000+01:00,1203,993202,993203,1203,0,0.375625,3200,993203,992000,992000,992000,992000,0,,,620,0,0,0,0,0,0,2000,994000,992000,64010,55214,8796,22392024,16756135968,127303680,32077634,38,1.936,2.0571,2.3867,0.1613,0.1714,0.1989
2026-03-04 16:10:50.488000+01:00,1315,1014512,1014512,1313,0,0.4103125,3200,1014510,1014400,1014400,1014400,1014400,0,,,634,0,0,0,0,0,0,1600,1014000,1014400,66106,56898,9209,29516856,22347379880,127336448,34430754,38,2.2256,2.1191,2.3867,0.1855,0.1766,0.1989
2026-03-04 16:11:50.488000+01:00,1380,1011265,1011265,1378,0,0.430625,3200,1011264,1011200,1011200,1011200,1011200,0,,,632,0,0,0,0,0,0,1400,1011000,1011200,66802,57345,9456,29246280,27921371328,127352832,34023042,38,2.6626,2.2729,2.4248,0.2219,0.1894,0.2021
2026-03-04 16:12:50.488000+01:00,1600,1021021,1021020,1600,0,0.5,3200,1021023,1022400,1020800,1022400,1020800,1600,,,639,0,0,0,0,0,0,1600,1021000,1020800,66435,57352,9084,25184232,33550810480,128450560,27642226,38,2.835,2.3994,2.4604,0.2362,0.2,0.205
2026-03-04 16:13:50.488000+01:00,2000,1026000,1026000,2000,0,0.625,3200,1026000,1025600,1025600,1025600,1025600,1600,,,641,0,0,0,0,0,0,2000,1026000,1025600,67156,57827,9328,27680168,39207936408,128663552,29983394,38,2.8379,2.4985,2.4941,0.2365,0.2082,0.2078
2026-03-04 16:14:50.489000+01:00,800,994000,994000,800,0,0.25,3200,994000,993600,995200,993600,995200,0,,,621,0,0,0,0,0,0,800,994000,995200,64257,55378,8880,26532032,44685837736,128696320,34246066,37,3.0752,2.6216,2.5381,0.2563,0.2185,0.2115
